Human_Symbol,ENTREZID,EC,Pathway_KEGG_ID
A4GALT,53947,2.4.1.228,hsa00601
A4GALT,53947,2.4.1.228,hsa00603
AARS1,16,6.1.1.7,hsa00970
AARS2,57505,6.1.1.7,hsa00970
AASS,10157,1.5.1.8,hsa00310
AASS,10157,1.5.1.9,hsa00310
ABAT,18,2.6.1.19,hsa00250
ABAT,18,2.6.1.22,hsa00250
ABAT,18,2.6.1.19,hsa00280
ABAT,18,2.6.1.22,hsa00280
ABAT,18,2.6.1.19,hsa00410
ABAT,18,2.6.1.22,hsa00410
ABAT,18,2.6.1.19,hsa00640
ABAT,18,2.6.1.22,hsa00640
ABAT,18,2.6.1.19,hsa00650
ABAT,18,2.6.1.22,hsa00650
ABAT,18,2.6.1.19,hsa04727
ABAT,18,2.6.1.22,hsa04727
ABCA1,19,NA,hsa02010
ABCA1,19,NA,hsa04148
ABCA1,19,NA,hsa04975
ABCA1,19,NA,hsa04979
ABCA1,19,NA,hsa05417
ABCA12,26154,NA,hsa02010
ABCA12,26154,NA,hsa04382
ABCB11,8647,NA,hsa02010
ABCB11,8647,NA,hsa04976
ABCB11,8647,NA,hsa04979
ABCB4,5244,7.6.2.2,hsa02010
ABCB4,5244,7.6.2.2,hsa04976
ABCB6,10058,NA,hsa02010
ABCB7,22,NA,hsa02010
ABCC2,1244,NA,hsa02010
ABCC2,1244,NA,hsa04976
ABCC2,1244,NA,hsa04981
ABCC6,368,NA,hsa02010
ABCC8,6833,NA,hsa02010
ABCC8,6833,NA,hsa04911
ABCC8,6833,NA,hsa04930
ABCD1,215,7.6.2.4,hsa02010
ABCD1,215,7.6.2.4,hsa04146
ABCD3,5825,7.6.2.4,hsa02010
ABCD3,5825,7.6.2.4,hsa04146
ABCD4,5826,7.6.2.8,hsa02010
ABCD4,5826,7.6.2.8,hsa04146
ABCD4,5826,7.6.2.8,hsa04977
ABCD4,5826,7.6.2.8,hsa04980
ABCG5,64240,NA,hsa02010
ABCG5,64240,NA,hsa04975
ABCG5,64240,NA,hsa04976
ABCG5,64240,NA,hsa04979
ABCG8,64241,NA,hsa02010
ABCG8,64241,NA,hsa04975
