"EC","total_genes","present_genes","percent"
"1.2.1.3",1,1,100
"1.2.1.31",1,1,100
"1.2.1.8",1,1,100
"1.4.4.2",1,1,100
"1.5.1.3",1,1,100
"1.5.1.5",1,1,100
"1.5.1.53",1,1,100
"1.5.1.6",1,1,100
"1.5.8.4",1,1,100
"1.8.1.4",1,1,100
"2.1.1.13",1,1,100
"2.1.1.45",1,1,100
"2.1.2.1",1,1,100
"2.1.2.10",1,1,100
"2.1.2.3",1,1,100
"2.5.1.6",2,2,100
"3.13.2.1",1,1,100
"3.5.4.10",1,1,100
"3.5.4.9",1,1,100
"4.2.1.22",1,1,100
"4.4.1.1",1,1,100
"6.3.3.2",1,1,100
"6.3.4.3",1,1,100
"1.5.8.3",1,0,0
"2.1.1.20",1,0,0
"2.1.2.5",1,0,0
"4.3.1.4",1,0,0
