"ENTREZID","percent"
"10577",0
"10717",0
"1075",0
"11154",0
"1174",100
"1175",100
"1200",0
"1201",100
"1203",0
"1213",100
"138050",0
"1497",100
"1508",100
"1509",100
"1513",0
"153201",100
"162",100
"175",100
"200576",100
"2030",100
"2055",0
"22901",0
"23230",100
"23431",0
"23503",0
"23545",100
"2517",100
"2548",100
"256471",100
"2581",100
"2588",0
"26258",0
"26503",100
"2717",100
"2720",100
"2760",0
"2799",0
"285362",0
"2990",100
"3073",100
"3074",100
"3373",100
"3423",0
"3425",0
"388552",0
"3920",100
"3988",100
"410",0
"411",100
"4125",100
"4126",100
"427",100
"4668",100
"4669",100
"4758",0
"4864",100
"4891",100
"523",100
"529",100
"537",100
"5476",100
"54832",100
"54982",0
"55315",100
"5538",100
"55823",100
"5660",100
"57192",100
"6448",0
"65082",100
"6609",100
"7879",100
"79158",0
"80208",0
"8120",100
"84062",0
"84572",0
"8546",100
"8722",100
"8905",100
"8943",100
"9179",0
"9342",100
"950",100
"9896",100
"9907",0
