"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"100","ITGAV, CD51, MSK8, VNRA, VTNR","rectangle",567,524,46,17,NA,NA
"101","ITGAV, CD51, MSK8, VNRA, VTNR","rectangle",566,242,46,17,NA,NA
"102","ITGA4, CD49D, IA4","rectangle",376,771,46,17,NA,NA
"103","HMMR, CD168, IHABP, RHAMM","rectangle",840,793,46,17,NA,NA
"104","CD47, IAP, MER6, OA3","rectangle",840,741,46,17,NA,NA
"105","DAG1, 156DAG, A3a, AGRNR, DAG, LGMDR16, MDDGA9, MDDGC7, MDDGC9","rectangle",796,651,46,17,NA,NA
"106","CD36, BDPLT10, CHDS7, FAT, GP3B, GP4, GPIV, PASIV, SCARB3","rectangle",840,452,46,17,NA,NA
"107","SV2C, SLC22B3...","rectangle",840,372,46,17,"hsa:9900",0
"108","SDC1, CD138, SDC, SYND1, syndecan...","rectangle",840,305,46,17,NA,NA
"109","HSPG2, HSPG, PLC, PRCAN, SJA, SJS, SJS1","rectangle",714,676,46,17,NA,NA
"110","ITGB4, CD104, GP150, JEB5A, JEB5B","rectangle",567,801,46,17,NA,NA
"111","ITGB8","rectangle",567,724,46,17,NA,NA
"112","ITGB6, AI1H","rectangle",567,630,46,17,NA,NA
"113","ITGB5","rectangle",567,541,46,17,NA,NA
"114","ITGA2B, BDPLT16, BDPLT2, CD41, CD41B, GP2B, GPIIb, GT, GT1, GTA, HPA3, PPP1R93","rectangle",566,402,46,17,NA,NA
"115","ITGB3, BDPLT16, BDPLT2, BDPLT24, CD61, GP3A, GPIIIa, GT, GT2","rectangle",566,259,46,17,NA,NA
"116","ITGB7","rectangle",376,788,46,17,NA,NA
"117","ITGAV, CD51, MSK8, VNRA, VTNR","rectangle",376,618,46,17,NA,NA
"118","ITGA11, HsT18964","rectangle",376,516,46,17,NA,NA
"119","ITGA10, PRO827","rectangle",376,449,46,17,NA,NA
"120","ITGA9, ALPHA-RLC, ITGA4L, RLC","rectangle",376,357,46,17,NA,NA
"121","ITGA8","rectangle",376,196,46,17,NA,NA
"122","ITGA7","rectangle",184,775,46,17,NA,NA
"123","ITGA6, CD49f, ITGA6A, ITGA6B, JEB6, VLA-6","rectangle",184,703,46,17,NA,NA
"124","ITGA5, CD49e, FNRA, VLA-5, VLA5A","rectangle",184,624,46,17,NA,NA
"125","ITGA4, CD49D, IA4","rectangle",184,536,46,17,NA,NA
"126","ITGA3, CD49C, FRP-2, GAP-B3, GAPB3, ILNEB, JEB7, MSK18, VCA-2, VL3A, VLA3a","rectangle",184,408,46,17,NA,NA
"127","Focal adhesion","roundrectangle",662,378,104,25,NA,NA
"128","ITGB1, CD29, FNRB, GPIIA, MDF2, MSK12, VLA-BETA, VLAB","rectangle",184,185,46,17,NA,NA
"129","ITGA1, CD49a, VLA1","rectangle",184,168,46,17,NA,NA
"130","TNC, 150-225, DFNA56, GMEM, GP, HXB, JI, TN, TN-C...","rectangle",294,211,46,17,NA,NA
"132","VWF, F8VWF, VWD","rectangle",484,203,46,17,NA,NA
"133","VTN, V75, VN, VNT","rectangle",294,187,46,17,NA,NA
"134","NPNT, EGFL6L, POEM","rectangle",294,235,46,17,NA,NA
