"EC","total_genes","present_genes","percent"
"1.2.1.24",1,1,100
"1.2.1.88",1,1,100
"1.4.1.3",1,1,100
"2.1.3.2",1,1,100
"2.3.1.17",1,1,100
"2.6.1.1",1,1,100
"2.6.1.16",1,1,100
"2.6.1.19",1,1,100
"2.6.1.2",1,1,100
"2.6.1.22",1,1,100
"2.6.1.40",1,1,100
"2.6.1.44",2,2,100
"2.6.1.45",1,1,100
"2.6.1.51",1,1,100
"3.5.1.15",1,1,100
"3.5.1.2",1,1,100
"3.5.2.3",1,1,100
"4.1.1.15",1,1,100
"4.3.2.1",1,1,100
"4.3.2.2",1,1,100
"6.3.1.2",1,1,100
"6.3.4.16",1,1,100
"6.3.4.4",1,1,100
"6.3.4.5",1,1,100
"6.3.5.4",1,1,100
"6.3.5.5",1,1,100
