"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"101","ZBP1, C20orf183, DAI, DLM-1, DLM1","rectangle",668,449,46,17,NA,NA
"103","TNF signaling pathway","roundrectangle",296,158,129,20,NA,NA
"105","SPATA2L, C16orf76, tamo...","rectangle",449,201,46,17,NA,NA
"112","USP21, USP16, USP23","rectangle",539,380,46,17,NA,NA
"122","PYGB, GPBB...","rectangle",845,330,46,17,"hsa:5836;hsa:5837",100
"123","GLUL, DEE116, GLNS, GS, PIG43, PIG59","rectangle",845,291,46,17,"hsa:2752",100
"124","GLUD1, GDH, GDH1, GLUD, hGDH1...","rectangle",930,252,46,17,"hsa:2746",100
"128","SLC25A4, AAC1, ANT, ANT_1, ANT1, MTDPS12, MTDPS12A, PEO2, PEO3, PEOA2, T1...","rectangle",992,169,46,17,"hsa:291",100
"134","SMPD1, ASM, ASMASE, NPD","rectangle",872,464,46,17,"hsa:6609",100
"140","PGAM5, BXLBV68","rectangle",985,526,46,17,NA,NA
"141","DNM1L, DLP1, DRP1, DVLP, DYMPLE, EMPF, EMPF1, HDYNIV, OPA5","rectangle",1101,526,46,17,"hsa:10059",100
"143","NLRP3, AGTAVPRL, AII, AVP, C1orf7, CIAS1, CLR1.1, DFNA34, FCAS, FCAS1, FCU, KEFH, MWS, NALP3, PYPAF1","rectangle",985,581,46,17,NA,NA
"145","IL1B, IL-1, IL1-BETA, IL1F2, IL1beta","rectangle",1101,615,46,17,NA,NA
"146","PYCARD, ASC, CARD5, TMS, TMS-1, TMS1","rectangle",985,598,46,17,NA,NA
"147","CASP1, ICE, IL1BC, P45","rectangle",985,615,46,17,NA,NA
"150","MAPK8, JNK, JNK-46, JNK1, JNK1A2, JNK21B1/2, PRKM8, SAPK1, SAPK1c...","rectangle",845,373,46,17,NA,NA
"151","FTH1, FHC, FTH, FTHL6, HFE5, NBIA9, PIG15, PLIF...","rectangle",985,373,46,17,"hsa:2495;hsa:2512",100
"156","CAPN1, CANP, CANP1, CANPL1, SPG76, muCANP, muCL...","rectangle",985,436,46,17,NA,NA
