"EC","total_genes","present_genes","percent"
"1.1.1.399",1,1,100
"1.1.1.79",1,1,100
"1.1.1.81",1,1,100
"1.1.1.95",1,1,100
"1.2.1.3",1,1,100
"1.2.1.31",1,1,100
"1.2.1.8",1,1,100
"1.4.4.2",1,1,100
"1.5.8.3",1,1,100
"1.8.1.4",1,1,100
"2.1.1.20",1,1,100
"2.1.2.1",1,1,100
"2.1.2.10",1,1,100
"2.3.1.37",1,1,100
"2.6.1.40",1,1,100
"2.6.1.44",2,2,100
"2.6.1.45",1,1,100
"2.6.1.51",1,1,100
"2.6.1.52",1,1,100
"2.7.1.165",1,1,100
"3.1.3.3",1,1,100
"4.2.1.22",1,1,100
"4.4.1.1",1,1,100
"5.4.2.11",1,1,100
"1.4.3.4",1,0,0
"1.5.8.4",1,0,0
"2.1.1.2",1,0,0
"2.1.4.1",1,0,0
