"Pathway_KEGG_ID","Input_Genes","Entrez_Mapped","EC_Mapped","IMD_EC_Mapped","Colored_IMD_Genes","Rectangle_Nodes","Matched_Rectangle_Nodes","Output_Figure"
"hsa00010",67,67,74,30,28,70,24,"hsa00010_Human_to_Mouse_IMD_only_colored.png"
"hsa00020",30,30,31,26,26,49,20,"hsa00020_Human_to_Mouse_IMD_only_colored.png"
"hsa00030",31,31,35,17,15,77,16,"hsa00030_Human_to_Mouse_IMD_only_colored.png"
"hsa00040",36,36,37,7,7,95,7,"hsa00040_Human_to_Mouse_IMD_only_colored.png"
"hsa00051",35,35,41,18,16,84,15,"hsa00051_Human_to_Mouse_IMD_only_colored.png"
"hsa00052",32,32,41,20,16,66,23,"hsa00052_Human_to_Mouse_IMD_only_colored.png"
"hsa00053",31,31,34,8,6,65,5,"hsa00053_Human_to_Mouse_IMD_only_colored.png"
"hsa00061",18,18,21,10,6,257,20,"hsa00061_Human_to_Mouse_IMD_only_colored.png"
"hsa00062",28,28,30,12,11,43,37,"hsa00062_Human_to_Mouse_IMD_only_colored.png"
"hsa00071",43,43,50,26,21,85,56,"hsa00071_Human_to_Mouse_IMD_only_colored.png"
"hsa00100",20,20,23,12,11,65,31,"hsa00100_Human_to_Mouse_IMD_only_colored.png"
"hsa00120",17,17,22,14,11,53,39,"hsa00120_Human_to_Mouse_IMD_only_colored.png"
"hsa00130",12,12,14,10,9,74,12,"hsa00130_Human_to_Mouse_IMD_only_colored.png"
"hsa00140",66,66,89,23,19,130,85,"hsa00140_Human_to_Mouse_IMD_only_colored.png"
"hsa00190",136,135,28,15,57,199,61,"hsa00190_Human_to_Mouse_IMD_only_colored.png"
"hsa00220",23,23,25,15,13,44,13,"hsa00220_Human_to_Mouse_IMD_only_colored.png"
"hsa00230",128,128,146,42,35,174,76,"hsa00230_Human_to_Mouse_IMD_only_colored.png"
"hsa00232",6,6,5,2,1,28,4,"hsa00232_Human_to_Mouse_IMD_only_colored.png"
"hsa00240",58,58,65,25,21,131,48,"hsa00240_Human_to_Mouse_IMD_only_colored.png"
"hsa00250",37,37,46,27,21,79,21,"hsa00250_Human_to_Mouse_IMD_only_colored.png"
"hsa00260",39,39,49,29,23,102,26,"hsa00260_Human_to_Mouse_IMD_only_colored.png"
"hsa00270",51,51,63,28,23,117,23,"hsa00270_Human_to_Mouse_IMD_only_colored.png"
"hsa00280",48,48,58,47,38,63,46,"hsa00280_Human_to_Mouse_IMD_only_colored.png"
"hsa00290",4,4,6,1,1,28,3,"hsa00290_Human_to_Mouse_IMD_only_colored.png"
"hsa00310",63,63,77,23,18,68,16,"hsa00310_Human_to_Mouse_IMD_only_colored.png"
"hsa00330",50,50,56,23,20,114,23,"hsa00330_Human_to_Mouse_IMD_only_colored.png"
"hsa00340",22,22,26,12,9,40,7,"hsa00340_Human_to_Mouse_IMD_only_colored.png"
"hsa00350",37,37,38,12,11,101,21,"hsa00350_Human_to_Mouse_IMD_only_colored.png"
"hsa00360",16,16,17,7,6,69,6,"hsa00360_Human_to_Mouse_IMD_only_colored.png"
"hsa00380",42,42,54,25,20,80,22,"hsa00380_Human_to_Mouse_IMD_only_colored.png"
"hsa00400",6,6,6,3,3,80,5,"hsa00400_Human_to_Mouse_IMD_only_colored.png"
"hsa00410",31,31,41,24,17,44,14,"hsa00410_Human_to_Mouse_IMD_only_colored.png"
"hsa00430",17,16,26,8,4,30,5,"hsa00430_Human_to_Mouse_IMD_only_colored.png"
"hsa00440",6,6,7,3,3,51,3,"hsa00440_Human_to_Mouse_IMD_only_colored.png"
"hsa00450",17,17,24,8,7,22,8,"hsa00450_Human_to_Mouse_IMD_only_colored.png"
"hsa00470",6,6,6,1,1,73,1,"hsa00470_Human_to_Mouse_IMD_only_colored.png"
"hsa00480",59,58,68,16,13,65,14,"hsa00480_Human_to_Mouse_IMD_only_colored.png"
"hsa00500",36,36,43,22,19,89,18,"hsa00500_Human_to_Mouse_IMD_only_colored.png"
"hsa00510",56,56,52,29,30,53,30,"hsa00510_Human_to_Mouse_IMD_only_colored.png"
"hsa00512",36,36,35,2,3,15,2,"hsa00512_Human_to_Mouse_IMD_only_colored.png"
"hsa00513",44,44,40,21,21,57,14,"hsa00513_Human_to_Mouse_IMD_only_colored.png"
"hsa00515",23,23,19,11,14,24,16,"hsa00515_Human_to_Mouse_IMD_only_colored.png"
"hsa00520",38,38,42,21,20,130,24,"hsa00520_Human_to_Mouse_IMD_only_colored.png"
"hsa00524",5,5,5,2,2,82,2,"hsa00524_Human_to_Mouse_IMD_only_colored.png"
"hsa00531",19,19,18,13,13,26,19,"hsa00531_Human_to_Mouse_IMD_only_colored.png"
"hsa00532",21,21,25,13,11,21,13,"hsa00532_Human_to_Mouse_IMD_only_colored.png"
"hsa00534",24,24,23,12,11,29,12,"hsa00534_Human_to_Mouse_IMD_only_colored.png"
"hsa00541",20,20,26,13,10,131,12,"hsa00541_Human_to_Mouse_IMD_only_colored.png"
