"EC","total_genes","present_genes","percent"
"1.1.1.205",2,2,100
"1.17.1.4",1,1,100
"1.17.3.2",1,1,100
"1.17.4.1",2,2,100
"2.1.2.3",1,1,100
"2.4.2.1",2,2,100
"2.4.2.28",1,1,100
"2.4.2.7",1,1,100
"2.4.2.8",1,1,100
"2.7.1.113",1,1,100
"2.7.1.20",1,1,100
"2.7.1.25",1,1,100
"2.7.4.3",3,3,100
"2.7.4.6",1,1,100
"2.7.4.8",1,1,100
"2.7.6.1",1,1,100
"2.7.7.4",1,1,100
"3.1.3.5",1,1,100
"3.1.4.1",1,1,100
"3.5.4.10",1,1,100
"3.5.4.6",3,3,100
"3.6.1.11",1,1,100
"3.6.1.5",1,1,100
"3.6.1.6",1,1,100
"3.6.1.66",1,1,100
"3.6.1.9",1,1,100
"4.1.1.21",1,1,100
"4.3.2.2",1,1,100
"5.4.2.2",1,1,100
"6.3.2.6",1,1,100
"6.3.4.4",1,1,100
"6.3.5.3",1,1,100
"3.5.4.4",3,2,66.6666666666667
