"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","percent"
"10","VEGFA, L-VEGF, MVCD1, VEGF, VPF","rectangle",1099,363,46,17,NA,NA
"100","TEK, CD202B, GLC3E, TIE-2, TIE2, VMCM, VMCM1","rectangle",1160,415,46,17,NA,NA
"101","TIMP1, CLGI, EPA, EPO, HCI, TIMP, TIMP-1","rectangle",1099,442,46,17,NA,NA
"106","EDN1, ARCND3, ET1, HDLCQ7, PPET1, QME","rectangle",1099,483,46,17,NA,NA
"107","NOS2, HEP-NOS, INOS, NOS, NOS2A","rectangle",1160,483,46,17,NA,NA
"108","NOS3, ECNOS, eNOS","rectangle",1099,510,46,17,NA,NA
"109","HMOX1, HMOX1D, HO-1, HSP32, bK286B10","rectangle",1160,510,46,17,"hsa:3162",100
"11","EGLN2, EIT-6, EIT6, HIF-PH1, HIFPH1, HPH-1, HPH-3, PHD1...","rectangle",688,351,46,17,NA,NA
"110","NPPA, ANF, ANP, ATFB6, ATRST2, CDD, CDD-ANF, CDP, PND","rectangle",1099,538,46,17,NA,NA
"114","TIMP1, CLGI, EPA, EPO, HCI, TIMP, TIMP-1","rectangle",1099,195,46,17,NA,NA
"115","LTBR, D12S370, LT-BETA-R, TNF-R-III, TNFCR, TNFR-RP, TNFR2-RP, TNFR3, TNFRSF3","rectangle",1099,221,46,17,NA,NA
"12","VHL, HRCA1, RCA1, VHL1, pVHL","rectangle",700,248,46,17,NA,NA
"120","TLR4, ARMD10, CD284, TLR-4, TOLL","rectangle",169,156,46,17,NA,NA
"121","NFKB1, CVID12, EBP-1, KBF1, NF-kB, NF-kB1, NF-kappa-B1, NF-kappaB, NF-kappabeta, NFKB-p105, NFKB-p50, NFkappaB...","rectangle",443,158,46,17,NA,NA
"126","IFNG, IFG, IFI, IMD69","rectangle",87,196,46,17,NA,NA
"127","IFNGR1, CD119, IFNGR, IMD27A, IMD27B...","rectangle",169,196,46,17,NA,NA
"13","ARNT, ARNT1, HIF-1-beta, HIF-1beta, HIF1-beta, HIF1B, HIF1BETA, TANGO, bHLHe2","rectangle",947,417,46,17,NA,NA
"133","Calcium signaling pathway","roundrectangle",667,510,115,34,NA,NA
"134","IL6, BSF-2, BSF2, CDF, HGF, HSF, IFN-beta-2, IFNB2, IL-6","rectangle",87,125,46,17,NA,NA
"135","IL6R, CD126, HIES5, IL-1Ra, IL-6R, IL-6R-1, IL-6RA, IL6Q, IL6QTL, IL6RA, IL6RQ, gp80","rectangle",169,125,46,17,NA,NA
