"EC","Gene","total_genes","present_genes","percent"
"1.2.4.1","PDHA1; PDHA2; PDHB",3,3,100
"1.8.1.4","DLD",1,1,100
"2.3.1.12","DLAT",1,1,100
"2.7.1.1","HK1",1,1,100
"2.7.1.11","PFKM",1,1,100
"2.7.1.2","GCK",1,1,100
"2.7.1.40","PKLR",1,1,100
"2.7.2.3","PGK1",1,1,100
"3.1.3.11","FBP1; FBP2",2,2,100
"4.2.1.11","ENO3",1,1,100
"5.1.3.3","GALM",1,1,100
"5.3.1.1","TPI1",1,1,100
"5.3.1.9","GPI",1,1,100
"5.4.2.11","PGAM2",1,1,100
"5.4.2.2","PGM1",1,1,100
"1.2.1.3","ALDH1B1; ALDH3A2; ALDH7A1",3,2,66.6666666666667
"1.1.1.27","LDHA; LDHB",2,0,0
"1.2.1.31","ALDH7A1",1,0,0
"1.2.1.8","ALDH7A1",1,0,0
"3.1.3.9","G6PC3",1,0,0
"4.1.1.32","PCK1; PCK2",2,0,0
"4.1.2.13","ALDOA; ALDOB",2,0,0
