"entry_id","graphics_name","graphics_type","x","y","width","height","matched_ids","Correlated_EC","Gene","percent"
"167","GNB5, GB5, HG2E, IDDCA, LADCI, LDMLS1, LDMLS2, gbeta5...","rectangle",350,525,46,17,NA,NA,NA,NA
"182","OPRM1, LMOR, M-OR-1, MOP, MOR, MOR1, OPRM","rectangle",1145,830,46,17,NA,NA,NA,NA
"183","ADCY1, AC1, DFNB44...","rectangle",1237,901,46,17,NA,NA,NA,NA
"208","PDE10A, ADSD2, HSPDE10A, IOLOD, LINC00473, PDE10A19...","rectangle",1310,959,46,17,NA,NA,NA,NA
"209","ADORA1, RDC7","rectangle",1266,985,46,17,NA,NA,NA,NA
"214","GABRR3...","rectangle",590,214,46,17,"hsa:2554;hsa:2559;hsa:2560;hsa:2561;hsa:2562;hsa:2563;hsa:2566",NA,"GABRA1; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRG2",0
"215","GABRR3...","rectangle",589,600,46,17,"hsa:2554;hsa:2559;hsa:2560;hsa:2561;hsa:2562;hsa:2563;hsa:2566",NA,"GABRA1; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRG2",0
"216","GABRR3...","rectangle",589,969,46,17,"hsa:2554;hsa:2559;hsa:2560;hsa:2561;hsa:2562;hsa:2563;hsa:2566",NA,"GABRA1; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRG2",0
"217","GABRR3...","rectangle",1377,1022,46,17,"hsa:2554;hsa:2559;hsa:2560;hsa:2561;hsa:2562;hsa:2563;hsa:2566",NA,"GABRA1; GABRA6; GABRB1; GABRB2; GABRB3; GABRD; GABRG2",0
"265","KCNJ3, GIRK1, KGA, KIR3.1...","rectangle",366,398,46,17,NA,NA,NA,NA
"266","CACNA1A, APCA, BI, CACNL1A4, CAV2.1, DEE42, EA2, EIEE42, FHM, HPCA, MHP, MHP1, SCA6...","rectangle",425,398,46,17,NA,NA,NA,NA
"267","KCNJ3, GIRK1, KGA, KIR3.1...","rectangle",373,757,46,17,NA,NA,NA,NA
"268","CACNA1A, APCA, BI, CACNL1A4, CAV2.1, DEE42, EA2, EIEE42, FHM, HPCA, MHP, MHP1, SCA6...","rectangle",426,757,46,17,NA,NA,NA,NA
"269","KCNJ3, GIRK1, KGA, KIR3.1...","rectangle",356,1114,46,17,NA,NA,NA,NA
"270","CACNA1A, APCA, BI, CACNL1A4, CAV2.1, DEE42, EA2, EIEE42, FHM, HPCA, MHP, MHP1, SCA6...","rectangle",414,1114,46,17,NA,NA,NA,NA
"271","OPRM1, LMOR, M-OR-1, MOP, MOR, MOR1, OPRM","rectangle",1149,472,46,17,NA,NA,NA,NA
"272","KCNJ3, GIRK1, KGA, KIR3.1...","rectangle",1158,756,46,17,NA,NA,NA,NA
"273","CACNA1A, APCA, BI, CACNL1A4, CAV2.1, DEE42, EA2, EIEE42, FHM, HPCA, MHP, MHP1, SCA6...","rectangle",1210,756,46,17,NA,NA,NA,NA
