"EC","total_genes","present_genes","percent"
"6.1.1.1",2,2,100
"6.1.1.10",2,2,100
"6.1.1.11",2,2,100
"6.1.1.12",2,2,100
"6.1.1.14",1,1,100
"6.1.1.18",1,1,100
"6.1.1.2",2,2,100
"6.1.1.20",3,3,100
"6.1.1.21",2,2,100
"6.1.1.22",2,2,100
"6.1.1.4",2,2,100
"6.1.1.5",2,2,100
"6.1.1.6",1,1,100
"6.3.5.6",3,2,66.6666666666667
"6.3.5.7",3,2,66.6666666666667
"6.1.1.15",2,1,50
"6.1.1.16",2,1,50
"6.1.1.17",2,1,50
"6.1.1.19",2,1,50
"6.1.1.3",2,1,50
"6.1.1.7",2,1,50
"6.1.1.9",2,1,50
"2.1.2.9",1,0,0
"2.9.1.2",1,0,0
