Model,Pathway_KEGG_ID,entry_id,Gene,graphics_name,x,y,width,height,x1,y1,x2,y2
Mus musculus,hsa00010,117,PCK1,"PCK1, PCKDC, PEPCK-C, PEPCK1, PEPCKC...",239,726,46,17,216,718,262,734
Mus musculus,hsa00010,117,PCK2,"PCK1, PCKDC, PEPCK-C, PEPCK1, PEPCKC...",239,726,46,17,216,718,262,734
Mus musculus,hsa00010,18,ALDOA,"ALDOA, ALDA, GSD12, HEL-S-87p...",483,407,46,17,460,398,506,416
Mus musculus,hsa00010,18,ALDOB,"ALDOA, ALDA, GSD12, HEL-S-87p...",483,407,46,17,460,398,506,416
Mus musculus,hsa00010,42,ALDH1B1,"ALDH2, ALDH-E2, ALDHI, ALDM...",284,948,46,17,261,940,307,956
Mus musculus,hsa00010,42,ALDH3A2,"ALDH2, ALDH-E2, ALDHI, ALDM...",284,948,46,17,261,940,307,956
Mus musculus,hsa00010,42,ALDH7A1,"ALDH2, ALDH-E2, ALDHI, ALDM...",284,948,46,17,261,940,307,956
Mus musculus,hsa00010,52,PDHA1,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",431,858,46,17,408,850,454,866
Mus musculus,hsa00010,52,PDHA2,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",431,858,46,17,408,850,454,866
Mus musculus,hsa00010,52,PDHB,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",431,858,46,17,408,850,454,866
Mus musculus,hsa00010,53,PDHA1,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",319,870,46,17,296,862,342,878
Mus musculus,hsa00010,53,PDHA2,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",319,870,46,17,296,862,342,878
Mus musculus,hsa00010,53,PDHB,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",319,870,46,17,296,862,342,878
Mus musculus,hsa00010,54,DLAT,"DLAT, DLTA, E2, PBC, PDC-E2, PDCE2",210,870,46,17,187,862,233,878
Mus musculus,hsa00010,55,LDHA,"LDHAL6A, LDH6A...",579,869,46,17,556,860,602,878
Mus musculus,hsa00010,55,LDHB,"LDHAL6A, LDH6A...",579,869,46,17,556,860,602,878
Mus musculus,hsa00010,57,PKLR,"PKLR, CNSHA2, PK1, PKL, PKRL, RPK...",483,771,46,17,460,762,506,780
Mus musculus,hsa00010,59,ENO3,"ENO1, ENO1-IT1, ENO1L1, HEL-S-17, MPB1, NNE, PPH...",483,701,46,17,460,692,506,710
Mus musculus,hsa00010,60,PGAM2,"PGAM4, PGAM-B, PGAM1, PGAM3, dJ1000K24.1...",458,632,46,17,435,624,481,640
Mus musculus,hsa00010,62,TPI1,"TPI1, HEL-S-49, TIM, TPI, TPID",386,449,46,17,363,440,409,458
Mus musculus,hsa00010,63,PFKM,"PFKL, ATP-PFK, PFK-B, PFK-L...",458,339,46,17,435,330,481,348
Mus musculus,hsa00010,64,FBP1,"FBP1, FBP...",408,339,46,17,385,330,431,348
Mus musculus,hsa00010,64,FBP2,"FBP1, FBP...",408,339,46,17,385,330,431,348
Mus musculus,hsa00010,66,GPI,"GPI, AMF, CNSHA4, GNPI, NLK, PGI, PHI, SA-36, SA36",483,268,46,17,460,260,506,276
Mus musculus,hsa00010,67,PGM1,"PGM1, CDG1T, GSD14...",483,178,46,17,460,170,506,186
Mus musculus,hsa00010,69,HK1,"HK1, CNSHA5, HK, HK1-ta, HK1-tb, HK1-tc, HKD, HKI, HMSNR, HXK1, NEDVIBA, NMSR, RP79, hexokinase...",219,293,46,17,196,284,242,302
Mus musculus,hsa00010,70,GCK,"GCK, FGQTL3, GK, GLK, HHF3, HK4, HKIV, HXKP, LGLK, MODY2, PNDM1",219,314,46,17,196,306,242,322
Mus musculus,hsa00010,71,GPI,"GPI, AMF, CNSHA4, GNPI, NLK, PGI, PHI, SA-36, SA36",349,268,46,17,326,260,372,276
Mus musculus,hsa00010,73,GALM,"GALM, BLOCK25, GALAC4, GLAT, HEL-S-63p, IBD1",173,268,46,17,150,260,196,276
Mus musculus,hsa00010,74,GCK,"GCK, FGQTL3, GK, GLK, HHF3, HK4, HKIV, HXKP, LGLK, MODY2, PNDM1",219,239,46,17,196,230,242,248
Mus musculus,hsa00010,75,HK1,"HK1, CNSHA5, HK, HK1-ta, HK1-tb, HK1-tc, HKD, HKI, HMSNR, HXK1, NEDVIBA, NMSR, RP79, hexokinase...",219,218,46,17,196,210,242,226
Mus musculus,hsa00010,76,G6PC3,"G6PC1, G6PC, G6PT, G6Pase, GSD1, GSD1a...",322,193,46,17,299,184,345,202
Mus musculus,hsa00010,79,DLD,"DLD, DLDD, DLDH, E3, GCSL, LAD, OGDC-E3, PHE3",262,913,46,17,239,904,285,922
Mus musculus,hsa00010,80,PGK1,"PGK1, HEL-S-68p, MIG10, PGKA...",483,557,46,17,460,548,506,566
Mus musculus,hsa00020,107,SDHA,"SDHA, CMD1GG, FP, MC2DN1, NDAXOA, PGL5, PPGL5, SDH1, SDH2, SDHF...",165,535,46,17,142,526,188,544
Mus musculus,hsa00020,107,SDHB,"SDHA, CMD1GG, FP, MC2DN1, NDAXOA, PGL5, PPGL5, SDH1, SDH2, SDHF...",165,535,46,17,142,526,188,544
Mus musculus,hsa00020,107,SDHC,"SDHA, CMD1GG, FP, MC2DN1, NDAXOA, PGL5, PPGL5, SDH1, SDH2, SDHF...",165,535,46,17,142,526,188,544
Mus musculus,hsa00020,107,SDHD,"SDHA, CMD1GG, FP, MC2DN1, NDAXOA, PGL5, PPGL5, SDH1, SDH2, SDHF...",165,535,46,17,142,526,188,544
Mus musculus,hsa00020,33,DLD,"DLD, DLDD, DLDH, E3, GCSL, LAD, OGDC-E3, PHE3",467,623,46,17,444,614,490,632
Mus musculus,hsa00020,34,OGDH,"OGDH, AKGDH, E1k, E1o, KGD1, OGDC, OGDH-E1, OGDH2, OGDHD...",661,579,46,17,638,570,684,588
Mus musculus,hsa00020,34,OGDHL,"OGDH, AKGDH, E1k, E1o, KGD1, OGDC, OGDH-E1, OGDH2, OGDHD...",661,579,46,17,638,570,684,588
Mus musculus,hsa00020,35,OGDH,"OGDH, AKGDH, E1k, E1o, KGD1, OGDC, OGDH-E1, OGDH2, OGDHD...",530,580,46,17,507,572,553,588
Mus musculus,hsa00020,35,OGDHL,"OGDH, AKGDH, E1k, E1o, KGD1, OGDC, OGDH-E1, OGDH2, OGDHD...",530,580,46,17,507,572,553,588
Mus musculus,hsa00020,36,DLST,"DLST, DLTS, KGD2, PGL7, PPGL7",403,579,46,17,380,570,426,588
Mus musculus,hsa00020,37,SUCLA2,"SUCLG2, G-SCS, GBETA, GTPSCS...",260,579,46,17,237,570,283,588
Mus musculus,hsa00020,37,SUCLG1,"SUCLG2, G-SCS, GBETA, GTPSCS...",260,579,46,17,237,570,283,588
Mus musculus,hsa00020,38,SUCLA2,"SUCLG2, G-SCS, GBETA, GTPSCS...",260,560,46,17,237,552,283,568
Mus musculus,hsa00020,38,SUCLG1,"SUCLG2, G-SCS, GBETA, GTPSCS...",260,560,46,17,237,552,283,568
Mus musculus,hsa00020,39,IDH1,"IDH1, HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD...",718,510,46,17,695,502,741,518
Mus musculus,hsa00020,39,IDH2,"IDH1, HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD...",718,510,46,17,695,502,741,518
Mus musculus,hsa00020,40,IDH3A,"IDH3A, RP90...",766,463,46,17,743,454,789,472
Mus musculus,hsa00020,40,IDH3B,"IDH3A, RP90...",766,463,46,17,743,454,789,472
Mus musculus,hsa00020,40,IDH3G,"IDH3A, RP90...",766,463,46,17,743,454,789,472
Mus musculus,hsa00020,41,IDH1,"IDH1, HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD...",718,405,46,17,695,396,741,414
Mus musculus,hsa00020,41,IDH2,"IDH1, HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD...",718,405,46,17,695,396,741,414
Mus musculus,hsa00020,43,FH,"FH, FMRD, HLRCC, HsFH, LRCC, MCL, MCUL1",191,441,46,17,168,432,214,450
Mus musculus,hsa00020,44,ACO2,"ACO1, ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1...",670,350,46,17,647,342,693,358
Mus musculus,hsa00020,45,ACO2,"ACO1, ACONS, HEL60, IREB1, IREBP, IREBP1, IRP1...",571,350,46,17,548,342,594,358
Mus musculus,hsa00020,47,MDH1,"MDH1, DEE88, EIEE88, HEL-S-32, KAR, MDH-s, MDHA, MGC:1375, MOR2...",253,349,46,17,230,340,276,358
Mus musculus,hsa00020,47,MDH2,"MDH1, DEE88, EIEE88, HEL-S-32, KAR, MDH-s, MDHA, MGC:1375, MOR2...",253,349,46,17,230,340,276,358
Mus musculus,hsa00020,48,PC,"PC, PCB",736,278,46,17,713,270,759,286
Mus musculus,hsa00020,84,PDHA1,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",681,241,46,17,658,232,704,250
Mus musculus,hsa00020,84,PDHA2,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",681,241,46,17,658,232,704,250
Mus musculus,hsa00020,84,PDHB,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",681,241,46,17,658,232,704,250
Mus musculus,hsa00020,86,PDHA1,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",577,241,46,17,554,232,600,250
Mus musculus,hsa00020,86,PDHA2,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",577,241,46,17,554,232,600,250
Mus musculus,hsa00020,86,PDHB,"PDHA1, E1alpha, PDHA, PDHAD, PDHCE1A, PHE1A...",577,241,46,17,554,232,600,250
