"ENTREZID","percent"
"120892",50
"126328",100
"1327",100
"1337",100
"1339",100
"1340",100
"1349",0
"1351",0
"1537",100
"23236",100
"27089",100
"27429",100
"2891",100
"2892",100
"2893",100
"2902",100
"2903",100
"2904",100
"2906",100
"291",100
"2911",0
"29110",100
"3028",100
"3708",100
"3709",100
"374291",100
"3798",100
"3800",100
"4694",100
"4695",100
"4700",100
"4702",100
"4704",100
"4705",100
"4709",100
"4714",100
"4715",100
"4716",100
"4718",100
"4719",100
"4720",100
"4722",100
"4723",100
"4724",100
"4726",100
"4728",100
"4729",100
"498",100
"506",100
"5071",100
"51079",100
"513",100
"514",100
"5331",100
"5332",100
"539",100
"54205",100
"54539",100
"55967",100
"6389",100
"6390",100
"6391",100
"6392",100
"65018",100
"6531",100
"7381",100
"7384",100
"7385",100
"7386",100
"80208",100
"847",100
"84701",100
"9217",100
"9377",100
"9896",100
"9927",100
"9973",100
