"ENTREZID","percent"
"10577",100
"10717",100
"1075",100
"11154",100
"1174",100
"1175",100
"1200",100
"1201",100
"1203",100
"1213",100
"138050",100
"1497",100
"1508",100
"1509",100
"1513",100
"153201",100
"162",100
"175",100
"200576",100
"2030",100
"2055",100
"22901",100
"23230",100
"23431",100
"23503",100
"23545",100
"2517",100
"2548",100
"256471",100
"2581",100
"2588",100
"26258",100
"26503",100
"2717",100
"2720",100
"2760",100
"2799",100
"285362",100
"2990",100
"3073",100
"3074",100
"3373",100
"3423",100
"3425",100
"388552",100
"3920",100
"3988",100
"410",100
"411",100
"4125",100
"4126",100
"427",100
"4668",100
"4669",100
"4758",100
"4864",100
"4891",100
"523",100
"529",100
"537",100
"5476",100
"54832",100
"54982",100
"55315",100
"5538",100
"55823",100
"5660",100
"57192",100
"6448",100
"65082",100
"6609",100
"7879",100
"79158",100
"80208",100
"8120",100
"84062",100
"84572",100
"8546",100
"8722",100
"8905",100
"8943",100
"9179",100
"9342",100
"950",100
"9896",100
"9907",100
