"ENTREZID","percent"
"116228",0
"126129",33.3333333333333
"126328",0
"1327",0
"1337",100
"1339",100
"1340",100
"1349",0
"1351",0
"1352",100
"1353",100
"1355",100
"1374",33.3333333333333
"1376",100
"137682",0
"1537",100
"2182",100
"25915",0
"27089",100
"284184",0
"28958",0
"29078",0
"374291",0
"388753",100
"3991",0
"4694",0
"4695",0
"4697",0
"4700",0
"4702",0
"4704",0
"4705",0
"4709",0
"4714",0
"4715",0
"4716",0
"4718",0
"4719",0
"4720",0
"4722",0
"4723",0
"4724",0
"4726",0
"4728",0
"4729",0
"493753",100
"498",100
"506",100
"51079",0
"51103",0
"51241",0
"513",100
"514",100
"51422",100
"5346",0
"539",100
"54539",0
"55471",0
"55967",0
"57104",0
"6389",100
"6390",100
"6391",100
"6392",100
"65260",0
"7381",100
"7384",100
"7385",100
"7386",100
"788",100
"79133",0
"84701",0
"84987",0
"91942",0
"9377",100
